dashboard_name,widget_type
Latency Testing MCooper - SCE Commerce - Detailed Company View v1.4.1,tablewidget
look_and_feel,chart/pie
look_and_feel2,chart/pie
Main_Dash,chart/pie
Main_Dash,chart/bar
Main_Dash,pivot2
Mytonomy_Blox,BloX
Mytonomy_Blox,BloX
Mytonomy_Blox,BloX
Mytonomy_Blox,pivot2
mytonomy_widget,chart/column
mytonomy_widget,chart/column
nasdaq_switch_measure,chart/line
nasdaq_switch_measure,BloX
Nouria_AI_Demo,chart/line
Nouria_AI_Demo,indicator
Nouria_AI_Demo,chart/line
Nouria_AI_Demo,chart/line
pivot_widget_api,pivot2
pivot_widget_api,indicator
pivot_widget_script,pivot2
pivot_widget_script,pivot
pulse_tangoe,indicator
pulse_tangoe,indicator
pulse_tangoe,chart/line
pulse_tangoe,indicator
query_path,pivot2
samp_lead_gen_2,pivot2
samp_lead_gen_2,indicator
samp_lead_gen_2,chart/line
samp_lead_gen_2,map/area
samp_lead_gen_2,pivot2
Sample - Ecommerce,indicator
Sample - Ecommerce,indicator
Sample - Ecommerce,chart/pie
Sample - Ecommerce,indicator
Sample - Ecommerce,chart/pie
Sample - Ecommerce,indicator
Sample - Ecommerce,chart/scatter
Sample - Ecommerce,chart/line
Sample - Ecommerce,chart/bar
Sample - Ecommerce,chart/bar
Sample - Healthcare,indicator
Sample - Healthcare,chart/polar
Sample - Healthcare,indicator
Sample - Healthcare,indicator
Sample - Healthcare,indicator
Sample - Healthcare,chart/line
Sample - Healthcare,pivot
Sample - Lead Generation,chart/pie
Sample - Lead Generation,map/scatter
Sample - Lead Generation,indicator
Sample - Lead Generation,indicator
Sample - Lead Generation,indicator
Sample - Lead Generation,indicator
Sample - Lead Generation,chart/line
Sample - Retail,chart/line
Sample - Retail,indicator
Sample - Retail,chart/line
Sample - Retail,indicator
Sample - Retail,chart/column
Sample - Retail,indicator
Sample - Retail,pivot2
Sample - Retail,indicator
Sample ECommerce,pivot2
Sample Healthcare,pivot2
Sample Lead Generation,indicator
Sample Retail,indicator
Sample Retail (1),pivot2
SCE Commerce - Detailed Company View v1.4.1,chart/pie
SCE Commerce - Detailed Company View v1.4.1,indicator
SCE Commerce - Detailed Company View v1.4.1,BloX
SCE Commerce - Detailed Company View v1.4.1,map/scatter
SCE Commerce - Detailed Company View v1.4.1,indicator
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,tablewidget
SCE Commerce - Detailed Company View v1.4.1,tablewidget
SCE Commerce - Detailed Company View v1.4.1,chart/pie
SCE Commerce - Detailed Company View v1.4.1,richtexteditor
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,indicator
SCE Commerce - Detailed Company View v1.4.1,indicator
SCE Commerce - Detailed Company View v1.4.1,tablewidget
SCE Commerce - Detailed Company View v1.4.1,sankeyWidget
